문장,긍정 확률,star,result
황정민 배우님 연기가 뭔가 어색함 음악이 너무 과함 스토리 유치하고 오그라듬 ,0.007202501874417067,1,0.0
영화는 별로인데 무대인사는 좋았어요 ,0.04487655684351921,5,0.0
감독이 욕심을 너무 부린듯 ,0.011014822870492935,5,0.0
올해 본 영화중 최고였다고 생각합니다 극장에서 꼭 보시길 추천드려요 ,0.9923684000968933,10,10.0
또 한 번 증명된 속편의 저주베테랑 편 이후 한참 뒤에 만들어진 영환데 베테랑 보다 퇴보한 스토리비질란테의 하위호환액션신 존윅급이라고 구라친 는 존윅한테 총 맞아야 함 ,0.03787640109658241,4,0.0
숨겨둔 응원 녹아있는 반성 변함없는 관객 ,0.20588217675685883,7,1.0
완성도는 아쉽지만 정해인은 합격 ,0.7500396370887756,7,5.0
액션씬은 나름대로 볼만한 장면이 좀 있긴 했는데 ,0.13656644523143768,7,1.0
너 진짜 류승완 맞아 맞냐고 ,0.10512164980173111,2,0.0
영화 잘 봤습니다 감사합니다 ,0.9825838208198547,5,5.0
베지테리안 노벨문학상이래서 봤는데 ,0.767383337020874,1,1.0
그냥 그럼 시리즈로 만들려고 자꾸 편 대사쓰는데 어울리지도 안음 ,0.026903413236141205,6,0.0
역시 형만한 아우는 없습니다 ,0.7209498286247253,8,6.0
잘받았습니다 감사합니다 선생님 ,0.9515474438667297,10,10.0
너무잔인한장면없어좋았고재밌게잘봤어요 ,0.9920627474784851,10,10.0
시나리오 왜이럼 솔직히 실망입니다 ,0.007557054981589317,5,0.0
라면은 짠데 영화는 싱겁네 ,0.02811160869896412,6,0.0
출연하는 배우는 많은데 다양한 캐릭터를 살리지 못한 것 같아 많이 아쉽습니다 그리고 화면이 전반적으로 너무 어두침침해요 ,0.008692977949976921,7,0.0
영화는 기억남는 게 하나 없는 평범 그 자체였는데 정해인 눈 그거 하나는 기억날 듯 ,0.20543023943901062,6,1.0
죄짓고 살지 말라 그랬지 ,0.7751375436782837,7,5.0
처음부터 범인을 알려주니까 궁금하지가 않았다 심폐소생술은 마음에 들었다 ,0.6145506501197815,4,2.0
평이 안 좋아서 걱정했는데 생각보다 볼만했다 ,0.922369658946991,7,6.0
확실하게 편보다 못한 속편 ,0.01315282378345728,4,0.0
정해인 정해인 정해인 ,0.6849849224090576,8,5.0
정해인의 연기 스펙트럼이 꽤나 넓다는걸 확인 ,0.8719671368598938,6,5.0
무난하게 킬링타임용으로 잘 봤어요 ,0.9924615025520325,6,6.0
아니 보다 더 구식 같으면 어쩌나  베테랑이 더 세련됐다 ,0.09816865622997284,6,1.0
전작에 비해 산만하고 형식적인 느낌이 많이 들어서 오락적 재미는 덜해서 아쉽다 ,0.026906544342637062,6,0.0
오프닝 이렇게 해야 투자해준다고 누가 돈으로 압박했나요 ,0.034657612442970276,6,0.0
영화 베테랑 잘봤어요 ,0.8780605792999268,6,5.0
연출과 연기가 매우 좋았어요 ,0.9919541478157043,8,8.0
아 어쩌다가 베테랑이 배째랑이 됐을까 ,0.1294110268354416,4,1.0
액션은 좋았어요 자 ,0.14282360672950745,6,1.0
역시 류승완표 액션 너무 아파요전 지루할 틈없이 빠져서 봤어요 정해인 빌런도 흥미로왔습니다 ,0.9920094013214111,10,10.0
나는 재밌었다 도른눈깔 인상적임  ,0.9922692179679871,10,10.0
재미와 액션을 모두 그냥 그랬네요 ,0.06671644747257233,5,0.0
배우 연기는 좋았어요 ,0.1614018827676773,7,1.0
뻔하고 억지스러운 스토리에 옛날 개그 괜찮은 액션씬과 배우의 열연 ,0.14924854040145874,5,1.0
정해인이 정말 멋진 연기했다마지막에 박선우가 잡히지 말던가눈감아줬어야했는데박선우가 범인으로 잡히니 끝까지 긴장했던 스토리가 그냥 평범해져버렸다권선징악구도가 이젠 시대에 맞지않다그냥 관람객들의 쾌감으로 승부했어야했다 ,0.21400780975818634,10,2.0
이런 류의 영화중에서 가장 매력없음 ,0.007478687446564436,4,0.0
류승완 감 다 잃었다 오프닝 무슨 년 전 영화인줄그거 빼더라도 일단 재미가 없음 ,0.009357092902064323,2,0.0
원에서 느낀 감동은 없었지만 그냥 저냥 볼만했음 ,0.20306403934955597,8,2.0
베테랑 ,0.2968624532222748,4,1.0
개봉날 아맥으로 봤어오그냥 킬링타임용로 나와도 두번은 안 볼거같아요 ,0.03310021758079529,6,0.0
재미없다는거 알고 본건데도 재미없었음 ,0.007575373165309429,4,0.0
그냥 스낵무비 킬링타임용입니다 전작 느낌은 없고 가족들이랑 보기에 적절한지도 모르겠습니다 ,0.0250953771173954,6,0.0
초반은 좀 식상한 느낌이었으나 액션씬 나오면서 너무 재밌어짐 ,0.9919602274894714,10,10.0
개그코드는 맞지 않았지만 소재 때문인지 보다 재밌게 봤네요 ,0.9922621250152588,8,8.0
본래 오락영화에 뭘 기대함 ,0.028307318687438965,6,0.0
너무 많은걸 보여주려는 욕심을 좀 덜어냈으면 어땠을까 ,0.04132796451449394,6,0.0
재미있어요볼만해요  ,0.9923525452613831,10,10.0
구조는 아쉽지만 액션연출은 괜찮았던 속편 ,0.6435370445251465,7,5.0
잘 봤습니다 재밌어요 ,0.992506206035614,10,10.0
편보다도 재미 없음 ,0.007467497140169144,6,0.0
베테랑과 퇴물 사이에서 아슬아슬하게 외줄을 타다 ,0.22932273149490356,5,1.0
배우들 연기가 다 살렸다고봅니다 ,0.9911310076713562,10,10.0
정해인님 연기가 진짜 살렸다 ,0.986312210559845,10,10.0
확실히 편보다는 못하네요 마치 범죄도시가 완전히 상업영화로 편승해서 스토리나 개연성보다는 과한 설정과 자극적인 연출만을 추구하듯 이 영화는 너무 과합니다 빌런 정해인은 반전없이 당연히 빌런 이었고 왜 저렇게 대놓고 행동하는지도 이해할수 없고 모든 사회문제를 과하게 끌어들여 정신만 산만했습니다 여러모로 너무 아쉽습니다 ,0.006854659877717495,6,0.0
어찌어찌 끝난 베테랑 ,0.05808529630303383,7,0.0
윤리의식의 늪에 빠진 장르 장인의 실책 ,0.331967294216156,4,1.0
산만하다는 평이 꽤 많아서 고민하다가 봤는데 생각보다 재미있었다액션과 속도감으로만 보기에 나쁘지 않았음다만 황정민 캐릭터가 계속 소리만 지르는 건 아유 저러면 극장에서 귀 아파요 ,0.9919081330299377,7,7.0
진짜 너무나 실망했던 ,0.007690139580518007,4,0.0
이것 저것 사회면 잡탕밥 ,0.1375901699066162,4,1.0
재밌고 흥미진진하다 ,0.9922598004341125,8,8.0
정민이 형 형도 찍을 때 아니다 싶었지 이건 아니자나 ,0.022642936557531357,2,0.0
정해인 액션 보려고 두번 봄  재밌었음 ,0.9922703504562378,8,8.0
너무하네  실망입니다 ,0.007830464281141758,4,0.0
평점은 주관적일 수밖에 없겠지만 솔찍히 점대는 아니다 참고로 번 관람함 ,0.4338879883289337,9,4.0
영화 잘 봤습니다 ,0.9502084851264954,7,7.0
편의 장점은 쏙 뺴고 나온 속편 ,0.1248553916811943,6,1.0
난 완젼잼있던데 그렇게 뷁스러운 빌런은또 첨이라 신선했음 ,0.9923187494277954,10,10.0
베테랑  안 보고 본 사람인데 그냥 나쁘지 않게 볼만했습니다 다만 영화내의 이야기들 사이사이에 구멍들이 아니 뭐랄까 무언가를 빠뜨리고 보여준게 몇가지 있어서 너무 많은걸 보여주려고 했는데 그걸 다 담지 못했던 느낌입니다 기본은 프로 해주는데 그 이상은 어렵다 느껴지니 이 점 참고를 ,0.7909240126609802,7,6.0
기대가 너무 높았나 ,0.023082219064235687,6,0.0
가족과 연휴에 보기 괜찮은 영화 ,0.939582109451294,8,8.0
현실이 답답함을 비합법적으로 풀어 응징사람을 죽이는 것을 용인할 수 있으나법대로가 과연 공정한 잣대일지 ,0.5169664025306702,10,5.0
년전에나왔으면 재밌었을듯 ,0.30665695667266846,2,1.0
영화의 스토리가 개연성이 부족하고 이해가 잘 되지 않는 영화였습니다 ,0.007209313567727804,3,0.0
기승승결인 영화 액션씬은 좋았음 ,0.2947559356689453,6,2.0
연기 잘 하는 배우님들 보는 재미가 있는 영화 ,0.962687075138092,6,6.0
기대없었는데 잘봤어요 ,0.992388129234314,7,7.0
과하다 싶은 설정이나 장면이 영화가 보여주고자 했던 메세지를 덮는거 같아 조금 아쉬웠어요 ,0.018324095755815506,7,0.0
킬링타임용으로 보면 괜찮아요 ,0.7549505829811096,6,5.0
그냥 모든게 실망스러운 ,0.007669422775506973,4,0.0
너무 기대를 안하고 가서 그런지 생각보다 괜찮았어요 ,0.9923201203346252,7,7.0
편에 비해서도 아쉽고 류승완 감독의 작품으로서도 아쉬웠습니다 ,0.036975253373384476,5,0.0
비질란테 짝퉁 빌런이 매력이 도 없음 ,0.012789471074938774,5,0.0
어쩌면 범죄도시처럼 팬심이나 캐릭터성으로 보는 영화일 수도 있지만 적어도 류승완이 만드는 액션 시퀀스들은 괜찮았다 ,0.3900258243083954,6,2.0
감사합니다 좋은 영화 잘 봤습니다  ,0.9921121597290039,10,10.0
어딘가에서 많이 본 듯한 내용 에 대한 기대가 커서 그런지 아쉬움 배우들 연기는 좋았음 ,0.6623789668083191,5,3.0
평 안좋다길래 뭔가 했는데 나만 재밌나  ,0.9899507164955139,8,8.0
역시 믿고보는 베테랑 시리즈 였습니다 ,0.9922857284545898,10,10.0
재밌는데 넷플릭스에서 하도 자극적인소재를써서 사람들이 이상해진거같네요너무재밋게봤습니다 ,0.9924364686012268,10,10.0
매우재밌습니다 추천합니다 ,0.9923166036605835,10,10.0
반응이 미적지근합니다 애써 잘봤다고 하는 ,0.013690223917365074,6,0.0
에휴 이게 영화니 안타깝다 ,0.02916845493018627,2,0.0
무난하이 재미있게 잘봄 ,0.9925069212913513,10,10.0
기대가 있어서 실망이 더 큰듯 합니다 ,0.019643587991595268,8,0.0
농담 아니고 헐리우드 영화 생각났고 배우님들도 미쳤고 감독님도 미쳤고 나오신 모든분들 정말 멋지십니다 돈 벌기 포기한 영화에 한국인들 정신력 강화시키시려고 건강하게 만들어드릴려고 작정하시고 만드신 느낌들밖에 안받았습니다감독님이 돈 버실 생각을 아예 안하신 느낌입니다 전세계 한국 사람들 전부 다 건강들 챙겨드릴려고 영화 찍으신 느낌입니다현재 대한민국의 인구는 약 명이시라하시는데 전세계 한국인들 모두 따지면 더 많으시겠죠 꼭 다들 보셔셔 건강들 꼭 챙기시면 좋겠습니다 솔직히 중간에 잠깐 졸긴했는데 돈 안아깝습니다 마지막 이름들 다 나오는것까지 보고싶은 한국영화는 처음이였습니다 감동입니다 할리우드 영화들은 종종 생각들이 나서 있어보고싶었는데 영화 참여하신 모든분들 정말 존경합니다 대한민국 사랑합니다 근데 역시 마지막은 너무 안전한 느낌이고 황정민 선생님은 미국 상 타신다면 오스카상 받으셔야하는 느낌이에요 멋지십니다 별점은 솔직히 점입니다 제 기준엔 극단적이지 않았습니다 아쉬웠어요전세계 모든 사람들 의식적으로나 무의식적으로나 육체적으로나 정신적으로나 최대한 건강하시길 항상 영원히 기도합니다 개신교 임창범이라고 합니다 네이버에 임창범이라고 검색하시면 저 나옵니다 심리 상담가입니다 사장입니다 즐거운 주말되세요 년생 월 일 생입니다 행복한 하루입니다 한국영화 최고 ,0.6915985345840454,10,7.0
배우들 연기 좋았어요  ,0.9924383759498596,6,6.0
관객에게 답을 주는 영화는 극장에서 끝날 것이다 하지만 관객에게 질문을 던지는 영화는 상영이 끝났을 때 비로소 시작한다  아쉬가르 파라디  그래서 너무나 좋았던 영화 였습니다  ,0.992339015007019,9,9.0
평점이 너무 낮게 나온  영화 ,0.9808217883110046,10,10.0
하나부터 열까지 시작부터 끝까지 다 뻔한 영화 ,0.009591353125870228,2,0.0
감독님 옛날시절로 돌아와줘요 제발 이건 아니야 ,0.032881297171115875,3,0.0
정해인의 연기와 중반부 추격씬이 인상깊었음 ,0.9922587275505066,10,10.0
전작의 통쾌함과 완성도는 사라지고 전작의 후광효과만 기대하고 만든거 같아 씁쓸했다 ,0.013897744007408619,6,0.0
베테랑의 정체성이 전혀 없음 누구나 떠올리는 비질란텐 아류작 ,0.0076339365914464,5,0.0
액션화려하고 재밌게 봤어요 ,0.991828441619873,10,10.0
어우 실무무도관보다 못합니다 ,0.01865926757454872,1,0.0
최악까진 아니었지만 굳이 편까지 나올 필요가 있었을까 싶긴 하다 ,0.1658053696155548,5,1.0
누구나 알 법한 악당이 무슨 긴장감을 준단 말인가 ,0.2926638722419739,6,2.0
너무나도 구시대적인 초반 도박장 씬 ,0.02880038321018219,5,0.0
걔가 왜 그런 짓을 했는지 왜 안알랴줌 빌런 역할을 하기에는 너무 포스가 없는듯 ,0.08386890590190887,6,1.0
스토리도 그닥 액션씬도 그닥 ,0.007586893159896135,6,0.0
연출은 좋은데 빌런 서사가 부족해서 조금 아쉬웠던 영화인듯함 ,0.13688528537750244,6,1.0
정해인 이런 역할도 좋다 ,0.9924224019050598,6,6.0
기대보단 아쉬웠어요 ,0.15764617919921875,8,1.0
류승완 감독의 거대한 질문 우리 사회 이대로 옳은가 때문에 영화적 재미는 다소 반감되지만 이런 시선을 응원하게 된다 ,0.9922847747802734,7,7.0
시즌 안 보고 봤는데 괜찮았어요 정해인 연기가 소름돋고  색다른 모습이 신선했네요 ,0.9916364550590515,9,9.0
평점 왜저럼 범죄도시 보다 훨잼씀 점 먹을 영화는 아닌데  정해인 선한 연기만 잘하는줄 알았는데 도른자 연기도 장난아니네요 ,0.9907217025756836,10,10.0
유아인이 좋았고 그 시절이 좋았는데 년 지난 베테랑는 왜인지 내키지 않아 이제야 봤다 액션은 좋았다 ,0.8787841200828552,8,7.0
배테랑안보고 갔는데 너무 재밌었어요 나솔보다 재밌었음  생각보다 평점이낮아서 놀랐네요 재밌으니까 꼭 보세요 ,0.9918496608734131,10,10.0
재미가 없어 차라리 범죄도시처럼 진짜 악당 있고황정민하고 정해인이 같은편 되어서 두둘겨 팼으면 ,0.01585599035024643,1,0.0
아무리 한국인들이 김치찌개를 좋아한다지만 이건 아닌듯 ,0.0255193542689085,3,0.0
웃긴데  뻔한 스토리긴해도재밌어요 그냥  평점 별로래서 안 볼랬는데 보길 잘한 듯 믿고보는 황정민입니다용 ,0.9923589825630188,9,9.0
그냥 그랬어요 진부함 천지 ,0.00779973529279232,4,0.0
차린 게 너무 많아 정신없는 영화이지만 평타는 칩니다 액션도 좋고요 ,0.9924157857894897,7,7.0
영화 찍어내지말고 잔득하게 잘 좀 만드시길 ,0.027980219572782516,4,0.0
추천합니다 최고입니다 ,0.9924407005310059,10,10.0
전편에 비해 아쉬운점이 많다 ,0.0658583715558052,6,0.0
개연섯도 없고 황정민 외엔 발연기에돈내고 보기 아까운 망작 ,0.007221599575132132,2,0.0
진심 재미도없고 답답하고 정해인 연기도 오그라듬 ,0.007302898447960615,1,0.0
킬링타임용으로 볼만해용 ,0.8075970411300659,6,5.0
신나게 재미있게 잘 봤다 흐름따라 보면 잘 흘러간다 개연성 굳이 따질 필요 없다 어짜피 픽션 아닌가 미국 액션영화보다 낫다저질 유튜버들 실상을 잘 활용했고 ,0.9925065636634827,10,10.0
베테랑 번째 보는 이유 배우들 연기가 미쳤어요 정해인 배우는 소름끼치게 연기 잘하는 거 놀라워요 황정민배우님은 당연히 연기 스토리가 조금 아쉽다는 평들이 있으나 저는 배우들의 살아있는 광기 연기에 계속 봅니다 ,0.9924378991127014,10,10.0
보다 실질적 웃음 재미는 떨어지지만 장르적인 부분이 오히려 마음에 듦 ,0.8188359141349792,10,8.0
재밌었어요 다들 연기도 잘하시구요 ,0.992165207862854,10,10.0
라면이 짜요 가족영화 감동적이야 ,0.48621442914009094,8,4.0
무난해서 무안했다 액션은 늘 좋지만 관객은 기대한만큼 새로운 것을 기대한다 ,0.4420366585254669,7,3.0
다음엔 서도철강철중마석도 드림 콜라보해서 진짜 베테랑으로 ,0.8911260366439819,5,4.0
액션 시원했고 코미디 요소도 충분히 있었지만 제대로 웃지 못했습니다 무혐의로 풀려난 사건 이런 걸 오달수가 나와서 말하고 있으니 황당해서요 다음 편 제작 예정이라면 제발 얼굴 안보고 싶네요 ,0.046726033091545105,3,0.0
굳이싶은 속편이었음 ,0.9084848165512085,6,5.0
평가가 구려서 기대 도 안하고 보니까 볼만함베테랑 기대하고 보면 최악이긴 할듯 ,0.4639981687068939,8,4.0
영화가 아니고 꽁트를 보는 기분 ,0.0161887314170599,6,0.0
기대가 커서 실망했지만 잘 봤어요 ,0.9916033148765564,7,7.0
가벼운 유머와 무거운 사회드라마의 어긋남 ,0.034663133323192596,6,0.0
액션씬은 과격하고 잔인한데 영화 전반에 긴장감은 없는 ,0.009546775370836258,6,0.0
내용은 그럭저럭 액션씬은 좋았음 무진장 아파보임 ,0.26956021785736084,9,2.0
액션만이 남아있죠 액션만이 흐르고 있죠 ,0.16490241885185242,7,1.0
그냥저냥 그럭저럭 ,0.02822662889957428,6,0.0
기대에서 한없이 엇나가는데 신선하지 않음 ,0.013279804028570652,5,0.0
솔직히 재밌는디 별점 테러인가  무슨 평론가들 마냥 말하는 거는 좀 웃기다  ,0.8691861629486084,10,9.0
주제는 나쁘지않았는데 약간 허무맹랑한 느낌 정해인 연기가 진짜 또라이 같아서 좋았음 동료 형사들 비중은 줄고 오달수 비중은 많아져서 별로임 편 나올것처럼 끝났는데 딱히 다음편이 기대가 되지않음 ,0.3634794056415558,6,2.0
쓸데없이 폭력적이기만 해서 장르적 재미가 반감됨 음악도 개판이고 진짜 하  마무리도 얼렁뚱땅 ,0.007297301199287176,4,0.0
잘 봤습니다 감사합니다 ,0.9847211241722107,10,10.0
평이 안좋아서 궁금해서 봤는데 스토리도 액션도 유머도 긴장감도 없는 이름만 베테랑을 빌어온 속편 베테랑 이름 떼고 봐도 재미 없는 형사물 ,0.007494439370930195,3,0.0
관람평이 별로길래 기대없이 봤더니 생각보다 재밌음 러닝타임이 긴데 길게 안느껴지고 안지루해요 근데 정해인이 왜 해치가됐는지가 안나옴 ,0.9924881458282471,8,8.0
시간 가는줄 모르고 재미있게 봤습니다정해인의 재발견 ,0.9919207096099854,10,10.0
편을 생각한 기대감은 내려 놓고 보는게 좋을듯너무 전편의 웃음 코드를 갖다 썼지만볼만은 하다 중반 이후 액션씬도 괜찮음 ,0.9909101128578186,8,8.0
정해인 연기가 미친거임 진짜 ,0.7682026624679565,10,8.0
결말부분 임팩트가 약하다 ,0.021462172269821167,5,0.0
볼만은 하지만 재미는 그닥재밌는 요소들을 잔뜩 쌓아놨지만 재미가 없다특히 해치역할이 단순 개사이코이기만 하다 자기만의 확실한 철학이 있는 캐릭터였으면 더 재밌었겠지만 그러지 못했고 영화보는 내내 황정민 늙은게 왜케 눈에 띄는지 이제 액션영화는 그만   액션은 몇가지 볼만해요 ,0.008494547568261623,6,0.0
사적제제에 대해 따끔하게 일침을 놓는 작품 ,0.7717417478561401,8,6.0
정해인안녕라면 두 가지만 기억남 ,0.029287217184901237,5,0.0
정해인 눈돌아간 연기가 하드캐리한 영화임 잘생겼는데 연기까지 대박을  ,0.9867234826087952,9,9.0
연기굿 ,0.9866273999214172,10,10.0
몰입이 안됨 베테랑 이름이 아깝다 ,0.00716473488137126,5,0.0
산만한 이야기 진부한 연출에도 불구하고 재밌었다 ,0.9923067688941956,7,7.0
류승완이 이렇게 무너지다니 ,0.20931783318519592,1,0.0
류승완답게 액션은 정말 훌륭했지만 액션만 좋았다스토리나 만듦새가 전작의 반에 반도못한느낌 ,0.02606387250125408,8,0.0
평 안좋은거보고 예상했던 것 치곤 나쁘지않았고 영화도 볼만하긴 했는데 전작의 명성에 따른 기대감에 비해 못미치는듯근데 오프닝이 뭔가 별로예요 그래서 첨부터 확 인상을 깎아먹는 느낌이었는데 뒤에는 괜찮아서 다행이었어요 ,0.2956726849079132,7,2.0
류승완 감독 올드한 음악 연출 같은거 이제 좀 질림 영화는 평범했음 ,0.05503898113965988,6,0.0
베테랑 영화 재미없네요 ,0.008303754962980747,1,0.0
보다는 연출이 좀 아쉽지만 넘 재밌게 봤습니다 베테랑은 역시 액션이 최고예여 도 제발제발 해주세요 ,0.9920784831047058,10,10.0
베테랑 재미있게 잘 봤습니다 ,0.9924848675727844,10,10.0
평범한 한국영화  ,0.021105371415615082,6,0.0
이제 너무 식상한 형사물 ,0.008040452376008034,4,0.0
베테랑  전  돈 아까웠어요 ,0.008615550585091114,6,0.0
월일오늘 한 번 더 보고 옴계단 옥상 터널 격투씬 진짜 잘 뽑았음 이 액션들이 눈에 아른아른거려서 한 번 더 보고 왔는데액션만 놓고 봐도 돈 아깝지않음오늘은 감독인터뷰대로 나중에 나올 베테랑에서 박선우가 왜 그래야했는지 이게 편이랑 어떻게 이어지는지 가설을 세워보며 회차 관람을 함박선우가 조태오를 잡은 서도철을 보고 경찰이 된 건 진짜같음  경찰로 나온거니까 편이랑 연관되려면 조태오 이종격투상대였던 배우 엄태구와 접점이 있을거 같은데 결정적 증언으로 조태오의 범죄사실을 밝힌 엄태구가 보복을 당하고 그 영향이 박선우에게 미친듯 범죄자를 법으로 잡아도 피해자가 생기니까 박선우가 직접 단죄하기 시작한게 아닐까하는 이런저런 가설을 세워보며 재관람을 했는데 천만은 힘들겠지만 손익분기점은 거뜬히 넘겼으니 빠른 시일내에 베테랑이 나왔으면 좋겠음마지막 출구가 막힌걸 본 박선우가 탄식하며 차 돌려서 서도철이랑 맞다이까는거 좋았음베테랑에서는 장윤주 배우님 미스봉캐릭터 제대로 시원하게 좀 써주길 이번에 캐릭을 억까코믹스럽게 만들었네강동원이 나온 영화를 보면 강동원만 남는데 이번 베테랑가 비슷함 보고 나오면 정해인만 남음 가짜 해치 잡는 계단씬 극중 민강훈 역의 안보현과 옥상액션씬 마지막 터널에서 황정민과 붙는 씬까지 전부 정해인만 남음 감독의 베테랑 계획 인터뷰를 보면 베테랑의 개연성 문제가 어느정도 이해는 가는데 간극을 메꾸려면 베테랑이 빠르게 나와야함 정해인의 작품을 전부 본게 아니여서 정해인 배우의 액션을 이번 베테랑에서 처음 봤는데 극중 박선우 캐릭터에 맞게 은은한 광기가 너울진 그 도른자의 눈빛과 미세하게 움직이는 그 입꼬리 그리고 말도안되는 스피드의 액션까지 평점이 하도 낮아서 안보려다가 누군가 옥상액션씬이 기막히대서 그냥 볼까하고 봤다가 와 정해인 미쳤네 정해인 정해인 정해인 염불외며 쿠키영상을 봄 ,0.9922910332679749,10,10.0
범죄도시처럼 시리즈물을 계획하고 있나 싶은다 끝나고 쿠키 있습니다 ,0.5107972621917725,6,3.0
반전이 있어볼만했어요몇번 깜놀했어요 ,0.9915750622749329,8,8.0
액션씬 나올때 좀 과한느낌이 있고 스토리도 뒤죽박죽이네요 ,0.020483044907450676,6,0.0
전반적으로 재밌는부분을 찾아보기어려움 예고편만든사람이 아트다 ,0.0266141165047884,6,0.0
정해인 캐릭터 노선이 뭔지 결국은 걍 사패인거처럼 흐지부지 ,0.010946043767035007,6,0.0
인트로 부분이 유치 노잼이라 기대치가 떨어졌는데 본 내용은 볼만했어요 ,0.502502977848053,7,4.0
액션과 정해인으로 만족스럽지만 개그장면은 정말 하나도 안웃기고 장윤주배우님은 편보다 편에서 더 안좋은 모습만보여주네요 정극영화때 좋았는데 ,0.13087289035320282,8,1.0
여기저기서 많이 보던 씬과 이야기들 매력적인 빌런으로 커버하기엔 역부족 ,0.02606653980910778,6,0.0
스토리 없고 이 더 재밍 음 ,0.04319770634174347,10,0.0
평타는 치는것같아요 어디서 본 내용같지만 재미는 있어요 ,0.9542562365531921,10,10.0
편과 다른 분위기인데 액션이 많이 들어간 느낌이었다 영상미가 업그레이드 된 느낌 배우들 연기도 굿굿 ,0.9916028380393982,8,8.0
유머는 류승완의 장기가 아닌걸로 ,0.2556670606136322,4,1.0
감독들은 범죄자 집 앞에 경찰들 깔리고 시민들이 계란던지는 장면이랑 렉카들이 설치는 장면 없으면 영화를 못만드나 ,0.07843700051307678,6,0.0
악이 만연한 사회에 깊이는 사라지고 액션만 남았다 ,0.023455988615751266,6,0.0
난 너무재밋던데   범죄도시보다 훨씬 재미있었음액션씬이 정말 대박 ,0.9918116331100464,10,10.0
편에서 멈췄어야 했다 전편에서 주는 사회 비판과 사건을 해결하면서 주는 통쾌함은 전혀 찾을 수 없고 어디서 많이 본 것 같은 사건을 가져와서 대충 만들어 돈만 벌려는 것 아닌가 하는 생각이 영화 보는 내내 머리 속에서 떠나지 않았다 ,0.0851772204041481,6,1.0
